// Job-specific Values Database
//
// Structure of Database:
// JobID,Weight,HPFactor,HPMultiplicator,SPFactor,Unarmed,Dagger,1HSword,2HSword,1HSpear,2HSpear,1HAxe,2HAxe,Mace,Rod,Bow,Knuckle,Instrument,Whip,Book,Katar,Revolver,Rifle,Gatling Gun,Shotgun,Grenade Launcher,Fuuma Shuriken,2HStaff,Shield
//
//------------------------------------------------------------------------------

// Estudante
0,	20000,0  ,0  ,0  ,400  ,420  ,450  ,520  ,550  ,550  ,2000  ,2000  ,2000  ,2000  ,2000 ,480 ,2000 ,2000 ,2000 ,450 ,420 ,480 ,2000 ,2000 ,2000 ,480 ,480 ,2000
//------------------------------------------------------------------------------

// Genin Taijutsu
1,		28000,0  ,0  ,0  ,400  ,420  ,450  ,520  ,550  ,550  ,2000  ,2000  ,2000  ,2000  ,2000 ,480 ,2000 ,2000 ,2000 ,450 ,420 ,480 ,2000 ,2000 ,2000 ,480 ,480 ,2000
// Genin Ninjutsu
2,		24000,0  ,0  ,0  ,400  ,420  ,450  ,520  ,550  ,550  ,2000  ,2000  ,2000  ,2000  ,2000 ,480 ,2000 ,2000 ,2000 ,450 ,420 ,480 ,2000 ,2000 ,2000 ,480 ,480 ,2000

// Chunin Taijutsu
7,		28000,0  ,0  ,0  ,400  ,420  ,450  ,520  ,550  ,550  ,2000  ,2000  ,2000  ,2000  ,2000 ,480 ,2000 ,2000 ,2000 ,450 ,420 ,480 ,2000 ,2000 ,2000 ,480 ,480 ,2000
// Chunin Ninjutsu
9,		24000,0  ,0  ,0  ,400  ,420  ,450  ,520  ,550  ,550  ,2000  ,2000  ,2000  ,2000  ,2000 ,480 ,2000 ,2000 ,2000 ,450 ,420 ,480 ,2000 ,2000 ,2000 ,480 ,480 ,2000

// Jounin Taijutsu
4008,	28000,0  ,0  ,0  ,400  ,420  ,450  ,520  ,550  ,550  ,2000  ,2000  ,2000  ,2000  ,2000 ,480 ,2000 ,2000 ,2000 ,450 ,420 ,480 ,2000 ,2000 ,2000 ,480 ,480 ,2000
// Jounin Ninjutsu
