// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).

//- Consumiveis
0,9104,10
0,9105,100
0,9106,350
0,9107,650
0,9108,1200
0,9109,1000	

1,5245,1200
1,5246,500
1,5247,700
1,5270,300
1,5271,300
1,5272,500
1,5273,300
1,5274,500
1,5275,1000
1,5276,300
1,5277,2500
1,5278,2500
1,30205,3000

2,5200,1000
2,5201,1200
2,5202,1000
2,5207,1000
2,5231,1000
2,5242,1000
2,5255,1200
2,5261,1500

2,5210,500
2,5232,500
2,5233,500
2,5251,700
2,5258,500

2,5211,500
2,5220,300
2,5227,300
2,5254,500
2,5256,300
2,5260,300

6,12208,50
6,12210,50
6,12213,50
6,12214,50
6,12221,50
6,9110,1000
6,9111,1000
6,9102,100
