// Mercenary Skill Database
//
// Structure of Database:
// MercenryID,SkillID,SkillLevel

// -----------------------------
// Doton
// -----------------------------

// -----------------------------
// Kugutsu
// -----------------------------
// Kuroari 1
30550,8201,5
30550,8202,5
30550,8203,5
30550,8205,5
30550,8207,5

// Kuroari 2
30551,8201,5
30551,8202,5
30551,8203,5
30551,8205,5
30551,8207,5

// Kuroari 3
30552,8201,5
30552,8202,5
30552,8203,5
30552,8205,5
30552,8207,5

// Kuroari 4
30553,8201,5
30553,8202,5
30553,8203,5
30553,8205,5
30553,8207,5

// Sanshouo 1
30554,8208,5
30554,8209,5
30554,8210,5
30554,8211,5
30554,8235,1

// Sanshouo 2
30555,8208,5
30555,8209,5
30555,8210,5
30555,8211,5
30555,8235,1

// Sanshouo 3
30556,8208,5
30556,8209,5
30556,8210,5
30556,8211,5
30556,8235,1

// Sasori 1
30557,8213,5
30557,8214,5
30557,8215,5
30557,8216,5
30557,8217,5

// Sasori 2
30558,8213,5
30558,8214,5
30558,8215,5
30558,8216,5
30558,8217,5

// Kazekage 1
30559,8218,5
30559,8223,5
30559,8225,5
30559,8227,5
30559,8232,5

// -----------------------------
// Kibaku Nendo
// -----------------------------
30019,8228,1

// -----------------------------
// Hanzaki
// -----------------------------
